Number,Tree,TreeNo,TreeSpecies,PlotNo,Sesh,Occ,SeshOcc,Occ2,Date,Date2,SeshMonth,SeshMonth2,SpeciesCode,Status,Mark,Sex,AgeSex,AgeSex2,SVL,Mass,Location,Cell,Color,Notes,Perch,TL,Date2,Capture_Int1
101,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,OOPPUM,new,LF3,F,F,F,19,0.6,11NW,C11,,JF? - buttress,Leaf litter,NA,41669,0
102,DP4,8,Dipteryx panamensis,4,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF23,J,J,J,12,,18NW,C18,,lite brown back,Leaf litter,,41669,0
103,DP3,7,Dipteryx panamensis,3,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,J,J,J,9,,21NE,C21,,escape,Leaf litter,,41670,
104,DP3,7,Dipteryx panamensis,3,A,3,A3,3,31-Jan-14,41670,Feb,2,NORHUM,,,AD,AD,,,,18SE,C18,,escape,Leaf litter,,41670,
105,DP3,7,Dipteryx panamensis,3,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,AD,AD,,,,8NW,C8,,escape,Leaf litter,,41670,
106,DP3,7,Dipteryx panamensis,3,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,new,"LF124,RF3",M,M,J,13,0.3,2SW,C2,,,Leaf litter,,41670,0
107,DP3,7,Dipteryx panamensis,3,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,J,J,J,8.5,,5SE,C5,,,Leaf litter,,41670,
108,DP3,7,Dipteryx panamensis,3,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,J,J,J,9,,14SW,C14,,,Leaf litter,,41670,
109,DP4,8,Dipteryx panamensis,4,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,recap,LF24,JF,JF,J,10,,13NW,C13,,,Leaf litter,,41670,0
110,DP4,8,Dipteryx panamensis,4,A,3,A3,3,31-Jan-14,41670,Feb,2,NORHUM,new,LF2,JM,JM,,19,0.2,18SW,C18,,,Leaf litter,27,41670,
111,DP4,8,Dipteryx panamensis,4,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,,,,,,18NW,C18,,escape,Leaf litter,,41670,
112,DP4,8,Dipteryx panamensis,4,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,new,"LF2,RF12",M,M,JM,15.5,0.5,7SE,C7,,,Leaf litter,,41670,0
113,DP4,8,Dipteryx panamensis,4,A,3,A3,3,31-Jan-14,41670,Feb,2,OOPPUM,recap,LF2,,,,,,5SE,C5,,,NA,NA,41670,1
114,DP4,8,Dipteryx panamensis,4,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,new,RF2,M,M,JM,15,0.25,10NE,C10,,,Leaf litter,,41670,0
115,DP4,8,Dipteryx panamensis,4,A,3,A3,3,31-Jan-14,41670,Feb,2,RHAHAE,recap,LF2,,,,,,19SW,C19,,,NA,NA,41670,
116,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,new,"LF23,RF4",J,J,,13,0.2,19NW,C19,,,Leaf litter,NA,41670,
117,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,new,LH4,M,M,,18,0.5,19NW,C19,,,Leaf litter,NA,41670,
118,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,new,"LF2,LH4",J,J,,12,0.2,19SE,C19,,,Leaf litter,NA,41670,
119,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,new,"LF3,LH4",F,F,,21,0.9,19SE,C19,,,Leaf litter,NA,41670,
120,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,NORHUM,,,,,,,,20SE,C20,,escape,root,,41670,
121,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,new,"LF2,RF2-A",M,M,JM,16,0.35,21SE,C21,,,Leaf litter,,41670,0
122,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,recap,"LF4,RF3",J,J,,12.5,0.15,9NE,C9,,black,Leaf litter,NA,41670,
123,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,new,"LF4,LH4",F,F,,19,0.75,10SE,C10,,grey,soil,NA,41670,
124,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,recap,"LF3,RF4",J,J,,15,,10SE,C10,,tan,Leaf litter,NA,41670,
125,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,new,"LF2,RF3",F,F,JF,14,,11NE,C11,,,Leaf litter,,41670,0
126,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,PRICER,,,,,,,,12NE,C12,,escape,Leaf litter,,41670,
127,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,,,,,,12SE,C12,,escape,NA,,41670,
